Review_ID,Text_Review,Cleaned_Text,Rating,Sentiment_Label,Satisfaction_Level,Visitor_Age,Visit_Type,Travel_Purpose,Visit_Season,Eco_Activity_Count,Wildlife_Sightings,Site_Type,Eco_Rating,Guide_Quality,Cleanliness_Score,Service_Quality,Eco_Education_Level,Sustainability_Score,Crowd_Level,Noise_Level,Safety_Score,Travel_Distance_km,Expense_Level,Would_Recommend,Return_Intent,GroundTruth
1,"We enjoyed the peaceful environment, fresh air, and beautiful birdwatching spots.",we enjoyed the peaceful environment fresh air and beautiful birdwatching spots,5,Positive,High,26,Friends,Wildlife Study,Spring,8,5,Mountain,3.5,2,2,1,3,5,2,2,2,430,Low,Yes,Yes,Positive-High
2,The eco-activities like tree planting and conservation talks were meaningful.,the ecoactivities like tree planting and conservation talks were meaningful,4,Positive,High,60,Friends,Photography,Winter,5,2,Wildlife Sanctuary,2.0,5,2,2,3,5,3,3,4,458,Medium,No,No,Positive-High
3,Almost no wildlife sightings due to poor planning.,almost no wildlife sightings due to poor planning,1,Negative,Low,29,Couple,Leisure,Monsoon,7,5,Wildlife Sanctuary,2.4,4,4,1,5,5,3,3,2,20,Medium,Yes,No,Negative-Low
4,The resort was decent but lacked environmental awareness programs.,the resort was decent but lacked environmental awareness programs,3,Neutral,Medium,44,Group,Adventure,Monsoon,9,4,Mountain,3.7,3,5,2,1,1,2,3,4,204,Low,No,No,Neutral-Medium
5,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,65,Couple,Leisure,Spring,1,0,Lake,1.4,1,2,2,5,3,1,1,4,192,Medium,No,No,Neutral-Medium
6,Campsite was overcrowded and not cleaned regularly.,campsite was overcrowded and not cleaned regularly,1,Negative,Low,57,Couple,Photography,Winter,7,6,Coastal,1.5,3,5,4,2,1,5,4,5,218,Medium,No,Yes,Negative-Low
7,Loved the solar-powered cottages and eco-friendly activities offered on site.,loved the solarpowered cottages and ecofriendly activities offered on site,4,Positive,High,34,Friends,Relaxation,Summer,6,1,Wildlife Sanctuary,3.8,5,1,4,5,2,2,3,1,85,Low,Yes,No,Positive-High
8,The nature guide explained everything clearly and made the tour more enjoyable.,the nature guide explained everything clearly and made the tour more enjoyable,5,Positive,High,44,Family,Leisure,Summer,10,1,Wildlife Sanctuary,2.4,1,3,4,5,4,2,4,5,178,Medium,Yes,Yes,Positive-High
9,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,1,Negative,Low,45,Family,Photography,Winter,4,6,Mountain,3.9,1,1,2,2,4,2,5,2,290,Low,Yes,No,Negative-Low
10,Overall a simple and routine visit.,overall a simple and routine visit,3,Neutral,Medium,27,Family,Adventure,Spring,4,8,Forest,4.6,3,3,4,3,1,4,1,2,372,Medium,No,Yes,Neutral-Medium
11,Eco-friendly claims were false and misleading.,ecofriendly claims were false and misleading,2,Negative,Low,56,Group,Photography,Winter,4,8,Forest,1.4,4,1,1,4,5,2,4,4,154,Medium,Yes,No,Negative-Low
12,"Nothing memorable, but nothing terrible either.",nothing memorable but nothing terrible either,3,Neutral,Medium,18,Family,Leisure,Spring,9,1,Mountain,1.7,1,2,3,5,5,5,2,2,225,High,No,Yes,Neutral-Medium
13,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,2,Negative,Low,63,Couple,Photography,Summer,3,7,Mountain,3.6,5,4,5,3,3,2,1,5,371,High,Yes,Yes,Negative-Low
14,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,5,Positive,High,54,Family,Relaxation,Monsoon,8,2,Wildlife Sanctuary,3.3,3,1,1,4,5,4,5,3,31,High,Yes,No,Positive-High
15,Cleanliness was average throughout the site.,cleanliness was average throughout the site,3,Neutral,Medium,20,Friends,Wildlife Study,Winter,7,5,Lake,4.7,5,5,4,5,4,4,1,1,177,Medium,No,Yes,Neutral-Medium
16,Excellent wildlife sightings; the guides were knowledgeable and passionate about conservation.,excellent wildlife sightings the guides were knowledgeable and passionate about conservation,5,Positive,High,29,Friends,Relaxation,Winter,6,0,Forest,3.1,4,3,1,2,2,2,5,4,388,High,No,Yes,Positive-High
17,Food quality was moderate and service was inconsistent.,food quality was moderate and service was inconsistent,3,Neutral,Medium,28,Couple,Photography,Winter,2,4,Mountain,2.5,2,5,1,5,5,2,1,4,33,Medium,No,No,Neutral-Medium
18,"Rooms were unclean, noisy, and poorly maintained.",rooms were unclean noisy and poorly maintained,1,Negative,Low,40,Group,Relaxation,Summer,10,3,Lake,3.7,4,3,2,5,3,3,2,5,150,High,No,No,Negative-Low
19,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,1,Negative,Low,29,Group,Relaxation,Monsoon,1,4,Forest,3.4,1,2,3,3,3,3,5,3,19,Medium,No,Yes,Negative-Low
20,Wonderful conservation efforts and very clean surroundings made the trip special.,wonderful conservation efforts and very clean surroundings made the trip special,4,Positive,High,33,Friends,Leisure,Winter,2,6,Wildlife Sanctuary,1.3,2,1,2,1,2,5,4,4,499,Low,No,Yes,Positive-High
21,Good value but nothing extraordinary.,good value but nothing extraordinary,3,Neutral,Medium,20,Solo,Relaxation,Spring,1,8,Lake,3.4,2,5,5,3,5,2,3,1,254,Medium,No,Yes,Neutral-Medium
22,The biodiversity walk was educational and offered close-up experiences with rare species.,the biodiversity walk was educational and offered closeup experiences with rare species,4,Positive,High,55,Friends,Photography,Monsoon,6,3,Forest,2.2,3,2,1,5,5,5,4,2,416,Low,Yes,No,Positive-High
23,Terrible booking process with no communication.,terrible booking process with no communication,2,Negative,Low,51,Group,Relaxation,Monsoon,1,2,Wildlife Sanctuary,4.6,1,5,3,4,1,2,1,3,261,Low,Yes,No,Negative-Low
24,Bad food quality and slow staff response.,bad food quality and slow staff response,1,Negative,Low,44,Group,Relaxation,Winter,10,8,Wildlife Sanctuary,3.3,5,5,1,1,3,2,3,1,382,Low,Yes,No,Negative-Low
25,"Beautiful waterfalls, clean rivers, and well-protected wildlife zones.",beautiful waterfalls clean rivers and wellprotected wildlife zones,5,Positive,High,60,Couple,Relaxation,Summer,4,7,Forest,2.8,3,1,1,1,5,5,3,2,283,High,No,No,Positive-High
26,A very eco-friendly resort with sustainable facilities and amazing staff support.,a very ecofriendly resort with sustainable facilities and amazing staff support,5,Positive,High,60,Family,Photography,Monsoon,8,0,Coastal,4.9,4,5,3,2,3,3,4,3,35,High,No,Yes,Positive-High
27,The place was dirty with plastic waste everywhere.,the place was dirty with plastic waste everywhere,2,Negative,Low,56,Family,Photography,Spring,4,0,Wildlife Sanctuary,2.1,2,1,5,4,1,1,2,3,8,Medium,No,Yes,Negative-Low
28,Overall a simple and routine visit.,overall a simple and routine visit,3,Neutral,Medium,57,Group,Relaxation,Monsoon,9,8,Coastal,4.2,3,1,3,2,5,5,3,3,225,High,No,No,Neutral-Medium
29,Loved the solar-powered cottages and eco-friendly activities offered on site.,loved the solarpowered cottages and ecofriendly activities offered on site,5,Positive,High,33,Group,Relaxation,Winter,1,5,Lake,3.2,3,3,2,2,3,2,1,2,269,Medium,Yes,Yes,Positive-High
30,Too many insects and poorly managed waste disposal.,too many insects and poorly managed waste disposal,2,Negative,Low,65,Couple,Wildlife Study,Winter,8,5,Lake,1.0,4,2,4,4,3,4,2,1,213,Medium,No,No,Negative-Low
31,The trek was breathtaking and the staff ensured full safety.,the trek was breathtaking and the staff ensured full safety,5,Positive,High,18,Friends,Adventure,Monsoon,6,1,Mountain,3.0,3,3,5,3,4,5,1,2,165,High,Yes,Yes,Positive-High
32,Poor service throughout the trip and the location was overcrowded.,poor service throughout the trip and the location was overcrowded,1,Negative,Low,39,Friends,Wildlife Study,Winter,2,1,Forest,1.9,4,2,5,3,1,5,3,2,35,High,Yes,No,Negative-Low
33,"The experience was average overall, not too good and not too bad.",the experience was average overall not too good and not too bad,3,Neutral,Medium,61,Family,Photography,Spring,6,2,Lake,2.5,3,3,3,1,1,4,3,2,62,Low,Yes,Yes,Neutral-Medium
